STT;Từ vựng;Nghĩa Tiếng Việt;Câu ví dụ;Các cụm từ thường gặp đi kèm Part 6
12;Cautious;Thận trọng;"You need to be cautious about this investigation because the profit rise is unbelievable. It can be a scam 
Bạn cần thận trọng với hạng mục đầu tư lần này vì sự tăng trưởng lợi nhuận thật là khó tin. Nó có thể là một vụ lừa đảo đấy.";Come up a story: bịa/đặt ra một câu chuyện 
13;Champion;Nhà vô địch;"Mike is the champion of the tournament this year. 
Mike là nhà vô địch của giải đấu năm nay.";Cool down: làm mát, bớt nóng, bình tĩnh lại (chủ ngữ có thể là người hoặc vật) 
14;Glassware;Đồ vật được làm bằng pha lê;"Glassware is eye-catching but you need to take good care of it all the time. 
Đồ vật được làm bằng pha lê rất là bắt mắt nhưng cậu phải luôn chăm chút chúng mọi lúc";Get in: đi vào 
15;Corner;Góc;"I want to place the bed in the left corner of the room because it is near the window 
Tôi muốn đặt giường của mình ở góc trái của căn phòng tại vì nó sẽ ở bên cạnh cửa sổ";Get off: xuống xe 
16;Intersection;"Ngã tư 
Sự giao nhau, cắt nhau";"A car accident happened at the intersection leads to traffic jam on that road 
Có một vụ tai nạn xe hơi đã xảy ra ở ngã tư dẫn đến hiện tượng tắc đường trên con đường ấy";Get on with sb: hòa hợp, thuận với ai đó 
17;Passenger;Hành khách;"Because of the flight’s safety, passengers need to follow the rule. 
Hành khách phải thực hiện những quy định để đảm bảo cho sự an toàn của chuyến bay.";Get out: cút ra ngoài 
18;Charity;Từ thiện, lòng bác ái;"I raised funds for my wife's charity. 
Tôi gây quỹ cho tổ chức từ thiện của vợ tôi.";Get rid of s.th: bỏ cái gì đó 
19;Commence;Bắt đầu;"After the meeting, my classmate commences her project immediately 
Sau cuộc họp, bạn cùng lớp của tôi ngay lập tức bắt đầu dự án của cô ấy";Commit oneself to: cam kết về điều gì 
20;Athlete;Vận động viên;"I want to become a swimming athlete and win a gold medal 
Tôi muốn trở thành một vận động viên bơi lội và đạt huy chương vàng";Be divided into: được phân chia thành 
21;Complain;Phàn nàn;"My mom complains about my room all the time but I think it is not that messy. 
Mẹ tôi phàn nàn về phòng của tôi mọi lúc nhưng tôi nghĩ nó thực sự không bừa bộn đến thế.";Qualify for: đủ tiêu chuẩn làm gì 
22;Ferment;Lên men, ủ men;"Refrigerate the beans so they do not get fermented. 
Cho đậu vào tủ lạnh để đậu không bị lên men.";Collaborate on something: cộng tác trong vấn đề gì 
23;Comprehensive;Hoàn thiện;"I have to submit a comprehensive list of customers’ mobile phone on Wednesday 
Tôi phải nộp một danh sách hoàn thiện về số điện thoại của khách hành vào thứ Tư";A is aimed at B: A đang hướng tới B 
24;Fertilize;Tốt, phì nhiêu;"You have to fertilize your garden. 
Bạn phải bón phân cho khu vườn của bạn.";Response to: phản hồi 
25;Legislation;Điều luật;"A new legislation about Internet consumption has been implemented on citizens. 
Một điều luật mới về việc sử dụng Internet đã được áp dụng với người dân.";Compensate A for B: đền bù cho A về B 
26;Climate change;Hiện tượng thay đổi khí hậu;"Climate change can be a controversial topic if we talk about its main cause. 
Hiện tượng thay đổi khí hậu là một chủ đề có thể gây ra nhiều tranh luận khi chúng ta nói về nguyên nhân chính của nó.";Interfere with: gây trở ngại
27;Festive;Thuộc về lễ hội;"It puts her in a festive, celebratory mood. 
Nó đưa cô ấy vào một tâm trạng lễ hội, ăn mừng.";
28;Compulsory;Bắt buộc;"This assignment is compulsory because it will affect the student’s outcomes. 
Bài tập này là bắt buộc vì nó sẽ ảnh hưởng đến đầu ra của học sinh.";
29;Delightful;thích thú;"Camping sounds very delightful! 
Việc cắm trại nghe thích thú đó!";
30;Good;Hàng hóa;"I’m working for a sporting good store at the local mall. 
Tôi đang làm việc cho một cửa hàng bán đồ thể thao ở trung tâm thương mại địa phương.";
31;Finalize;Hoàn thành, làm xong;"The buyer cannot finalize the deal until you request acceptance. 
Người mua không thể hoàn tất giao dịch cho đến khi bạn yêu cầu chấp nhận.";
32;Clerk;Nhân viên được thuê;"I used to be a sales clerk at that bakery 2 years ago. 
Tôi đã từng là một nhân viên bán hàng ở tiệm bánh ấy hai năm trước.";
33;Firm;Vững chắc, kiên cố;"The firm has a firm foothold in this market. 
Công ty đã có một chỗ đứng vững chắc trên thị trường này.";
34;Abandon;Từ bỏ, bỏ rơi;"Her father abandoned her when she was six. 
Bố đã bỏ rơi cô ấy khi cô  được 6 tuổi.";
35;Performance;Màn trình diễn;"She deserves the best prize because her performance is perfect. 
Cô ấy xứng đáng với giải nhất tại vì màn trình diễn của cô ấy rất hoàn hảo.";
36;Stainless;Trong sạch;"Her reputation in my university is stainless. 
Danh tiếng cô ấy ở trường đại học của tôi rất trong sạch.";
37;Interview;Phỏng vấn;"She was interviewed by Adam and his questions were really difficult. 
Cô ấy được phỏng vấn bởi Adam và câu hỏi của anh ấy rất khó.";
38;Against;Phản đối, chống lại;"I am strongly against his method because it is too time-consuming. 
Tôi cật lực phản đối phương pháp của anh ấy vì nó quá tốn thời gian.";
39;Agree;Tán thành;"I can’t agree more. 
Tôi không để tán thành hơn được nữa.";
40;Anger;Sự tức giận;"His anger scared me. 
Sự tức giận của anh í thực sự đã dọa sợ tôi.";
41;Adopt;Nhận nuôi;"I adopted a dog because I want to have a friend at home. 
Tôi nhận nuôi một chú chó bởi vì tôi muốn có một người bạn ở nhà.";
42;Flat;Bằng phẳng;"The Earth is not flat. 
Trái đất không phẳng.";
43;Continent;Lục địa;"There are 7 continents on Earth. 
Có bảy lục địa trên Trái Đất.";
44;Computable;Có thể tính toán được;"This term has since come to be identified with computable functions. 
Thuật ngữ này kể từ đó đã được xác định với các hàm có thể tính toán được.";
45;Creative;Sáng tạo;"Lisa is a creative girl because she can create a lot of characters from Lego.  
Lisa là một cô bé rất sáng tạo vì cô ấy có thể tạo hình rất nhiều nhân vật từ đồ chơi xếp hình";
46;Conditional;Có điều kiện;"The offer of a place on the nursing course is conditional upon my passing all three exams. 
Việc đề nghị một suất tham gia khóa học y tá có điều kiện dựa trên khi tôi vượt qua cả ba kỳ thi.";
47;Determine;Quyết định, xác định;"You need to be decisive and determined on that problem. 
Cậu phải trở nên quyết đoạn và quyết định về vấn đề đó đi.";
48;Conduct;Tiến hành;"How you choose to conduct your private life is your own business! 
Bạn chọn cách tiến hành cuộc sống riêng tư của mình như thế nào là việc của riêng bạn!";
49;Conduction;Sự dẫn truyền nhiệt;"Conduction anesthesia encompasses a great variety of local and regional anesthetic techniques. 
Gây mê dẫn truyền bao gồm rất nhiều kỹ thuật gây tê cục bộ và vùng.";
50;Double;Gấp đôi;"The price of that sneaker will be doubled after the Black Friday’s sale. 
Giá của đôi giày thể thao ấy sẽ gấp đôi lên sau chương trình giảm giá “Thứ sáu đen tối”.";
51;Experience;Kinh nghiệm;"Besides knowledge and degrees, candidates need to possess some experience about the position. 
Ngoài kiến thức và bằng cấp, thí sinh phải sở hữu một vài kinh nghiệm về vị trí muốn ứng tuyển.";
52;Gather;Tập hợp;"My relatives always gather on the weekend to have a dinner together 
Họ hàng của tôi sẽ luôn tụ họp lại vào cuối tuần để ăn tối cùng nhau";
53;Confident;Tự tin;"I was confident I would get the raise. 
Tôi tự tin mình sẽ được tăng lương.";
54;Include;Bao gồm;"Your luggage includes personal stuff and some high-value products. 
Hành lý của anh bao gồm đồ dùng cá nhân và một số sản phẩm có giá trị cao.";
55;Confidential;Bảo mật, được tín nhiệm;"Confidential corporate information needs to be protected. 
Thông tin bí mật của công ty phải được bảo vệ.";
56;Indicate;Trình bày, biểu thị;"The bar chart indicates the scenario of population’s growth. 
Biểu đồ cột biểu thị xu hướng của sự tăng dân số.";
57;Congratulation;Sự chúc mừng;"Congratulation for the new project! 
Chúc mừng cho dự án mới!";
58;Material;Vật liệu;"I am looking for materials for my handmade product. 
Tôi đang tìm kiếm vật liệu cho sản phẩm thủ công của mình.";
59;Measure;Đo đạc, đo lường;"You have to measure the size of the room exactly so the bed will fit. 
Cậu phải đo đạc kích thước của căn phòng chính xác để chiếc giường có thể vừa.";
60;Multiple;nhiều, một số;"Multiple research shows that drinking milk can increase height. 
Một số nghiên cứu đã chỉ ra việc uống sữa có thể tăng chiều cao.";
61;Conscious;Hiểu biết, tỉnh táo;"You only become conscious when you lose something. 
Bạn chỉ trở nên tỉnh táo khi bạn đánh mất thứ gì đó.";
62;Consciousness;Sự hồi tỉnh, có ý thức;"For all of this will remain in your consciousness. 
Tất cả những điều này sẽ vẫn còn trong ý thức của bạn.";
63;Conserve;Giữ gìn, bảo tồn;"We should conserve the environment in all ways. 
Chúng ta nên bảo vệ môi trường bằng mọi cách.";
64;Conservation;Sự bảo tổn, bảo quản;"My group gathered to discuss conservation of the environment. 
Nhóm em đã họp bàn về việc bảo vệ môi trường.";
65;Narrow;Hẹp;"The road is narrow so I am afraid that cars can’t go through. 
Con đường khá là hẹp nên tôi sợ là ô tô không thể đi qua được.";
